,Symptom,weight
0,itching,0.1
1,skin_rash,0.3
2,nodal_skin_eruptions,0.4
3,continuous_sneezing,0.4
4,shivering,0.5
5,chills,0.3
6,joint_pain,0.3
7,stomach_pain,0.5
8,acidity,0.3
9,ulcers_on_tongue,0.4
10,muscle_wasting,0.3
11,vomiting,0.5
12,burning_micturition,0.6
13,spotting_urination,0.6
14,fatigue,0.4
15,weight_gain,0.3
16,anxiety,0.4
17,cold_hands_and_feets,0.5
18,mood_swings,0.3
19,weight_loss,0.3
20,restlessness,0.5
21,lethargy,0.2
22,patches_in_throat,0.6
23,irregular_sugar_level,0.5
24,cough,0.4
25,high_fever,0.7
26,sunken_eyes,0.3
27,breathlessness,0.4
28,sweating,0.3
29,dehydration,0.4
30,indigestion,0.5
31,headache,0.3
32,yellowish_skin,0.3
33,dark_urine,0.4
34,nausea,0.5
35,loss_of_appetite,0.4
36,pain_behind_the_eyes,0.4
37,back_pain,0.3
38,constipation,0.4
39,abdominal_pain,0.4
40,diarrhoea,0.6
41,mild_fever,0.5
42,yellow_urine,0.4
43,yellowing_of_eyes,0.4
44,acute_liver_failure,0.6
45,fluid_overload,0.6
46,swelling_of_stomach,0.7
47,swelled_lymph_nodes,0.6
48,malaise,0.6
49,blurred_and_distorted_vision,0.5
50,phlegm,0.5
51,throat_irritation,0.4
52,redness_of_eyes,0.5
53,sinus_pressure,0.4
54,runny_nose,0.5
55,congestion,0.5
56,chest_pain,0.7
57,weakness_in_limbs,0.7
58,fast_heart_rate,0.5
59,pain_during_bowel_movements,0.5
60,pain_in_anal_region,0.6
61,bloody_stool,0.5
62,irritation_in_anus,0.6
63,neck_pain,0.5
64,dizziness,0.4
65,cramps,0.4
66,bruising,0.4
67,obesity,0.4
68,swollen_legs,0.5
69,swollen_blood_vessels,0.5
70,puffy_face_and_eyes,0.5
71,enlarged_thyroid,0.6
72,brittle_nails,0.5
73,swollen_extremeties,0.5
74,excessive_hunger,0.4
75,extra_marital_contacts,0.5
76,drying_and_tingling_lips,0.4
77,slurred_speech,0.4
78,knee_pain,0.3
79,hip_joint_pain,0.2
80,muscle_weakness,0.2
81,stiff_neck,0.4
82,swelling_joints,0.5
83,movement_stiffness,0.5
84,spinning_movements,0.6
85,loss_of_balance,0.4
86,unsteadiness,0.4
87,weakness_of_one_body_side,0.4
88,loss_of_smell,0.3
89,bladder_discomfort,0.4
90,foul_smell_ofurine,0.5
91,continuous_feel_of_urine,0.6
92,passage_of_gases,0.5
93,internal_itching,0.4
94,toxic_look_(typhos),0.5
95,depression,0.3
96,irritability,0.2
97,muscle_pain,0.2
98,altered_sensorium,0.2
99,red_spots_over_body,0.3
100,belly_pain,0.4
101,abnormal_menstruation,0.6
102,dischromic_patches,0.6
103,watering_from_eyes,0.4
104,increased_appetite,0.5
105,polyuria,0.4
106,family_history,0.5
107,mucoid_sputum,0.4
108,rusty_sputum,0.4
109,lack_of_concentration,0.3
110,visual_disturbances,0.3
111,receiving_blood_transfusion,0.5
112,receiving_unsterile_injections,0.2
113,coma,0.7
114,stomach_bleeding,0.6
115,distention_of_abdomen,0.4
116,history_of_alcohol_consumption,0.5
117,fluid_overload,0.4
118,blood_in_sputum,0.5
119,prominent_veins_on_calf,0.6
120,palpitations,0.4
121,painful_walking,0.2
122,pus_filled_pimples,0.2
123,blackheads,0.2
124,scurring,0.2
125,skin_peeling,0.3
126,silver_like_dusting,0.2
127,small_dents_in_nails,0.2
128,inflammatory_nails,0.2
129,blister,0.4
130,red_sore_around_nose,0.2
131,yellow_crust_ooze,0.3
132,prognosis,0.5
